"Id_accident";"Lettre Conventionnelle Véhicule";"Année";"Lieu Admin Actuel - Territoire Nom";"CNIT";"Catégorie véhicule";"Age véhicule"
"67 170 022";"A";"2023";"Métropole";"N/A";"VT";"12"
"67 170 023";"A";"2023";"DOM";"L1EKYMCL000A807";"Cyclo";"0"
"67 170 023";"B";"2023";"DOM";"M10SETVP0097006";"VT";"3"
"67 170 024";"A";"2023";"DOM";"VF1BR2V0H455708";"VT";"12"
"67 170 025";"A";"2023";"DOM";"L1ESHECL0008093";"Cyclo";"20"
"67 170 025";"B";"2023";"DOM";"M10VWGVPP886429";"VT";"6"
"67 170 026";"A";"2023";"DOM";"N/A";"VT";"7"
"67 170 027";"A";"2023";"Autres OM";"N/A";"VT";"13"
"67 170 028";"A";"2023";"Métropole";"M10NSSVP0505537";"VT";"0"
"67 170 028";"B";"2023";"Métropole";"M10FRDVP2424670";"VT";"5"
"67 170 029";"A";"2023";"Métropole";"LJH92E200174";"Moto légère";"14"
"67 170 030";"B";"2023";"Métropole";"M10JT0VP002R795";"VT";"12"
"67 170 031";"A";"2023";"Métropole";"L3EAPRML000T574";"Moto légère";"0"
"67 170 032";"A";"2023";"Métropole";"L3EHNDM2000K460";"Moto lourde";"9"
"67 170 032";"B";"2023";"Métropole";"N10ARZCTL61N438";"VU";"0"
"67 170 033";"Z";"2023";"Métropole";"N/A";"VT";"N/A"
"67 170 035";"A";"2023";"Métropole";"LYM18M40C080";"Moto lourde";"21"
"67 170 035";"B";"2023";"Métropole";"N30DFATR185B168";"PL";"8"
"67 170 036";"A";"2023";"Métropole";"N/A";"VT";"13"
"67 170 036";"B";"2023";"Métropole";"JS1B51121001100";"Moto légère";"17"
"67 170 037";"A";"2023";"Métropole";"MVW56J2KV783";"VT";"19"
"67 170 038";"A";"2023";"Métropole";"M10VWGVP000W578";"VT";"13"
"67 170 039";"A";"2023";"Métropole";"N/A";"PL";"4"
"67 170 039";"B";"2023";"Métropole";"M10JT0VP0642817";"VT";"0"
"67 170 040";"A";"2023";"Métropole";"L1EBETCL000G167";"Cyclo";"5"
"67 170 040";"B";"2023";"Métropole";"L1EAPRCL000B506";"Cyclo";"4"
"67 170 041";"A";"2023";"Métropole";"N/A";"VT";"35"
"67 170 041";"B";"2023";"Métropole";"M10JT0VP027E345";"VT";"4"
"67 170 042";"A";"2023";"Métropole";"LJS19M409222";"Moto lourde";"18"
"67 170 042";"B";"2023";"Métropole";"N10CTRCT057B616";"VU";"0"
"67 170 043";"A";"2023";"Métropole";"N30RENTR4330756";"PL";"8"
"67 170 044";"A";"2023";"Métropole";"L3EKTMML000P100";"Moto légère";"8"
"67 170 044";"B";"2023";"Métropole";"M10DACVP001X367";"VT";"4"
"67 170 045";"A";"2023";"Métropole";"MPE1102KG642";"VT";"20"
"67 170 046";"A";"2023";"Métropole";"L1EDRBCL000A031";"Cyclo";"7"
"67 170 046";"B";"2023";"Métropole";"M10RENVPA51H710";"VT";"4"
"67 170 047";"A";"2023";"Métropole";"MRE5326AV815";"VT";"15"
"67 170 047";"B";"2023";"Métropole";"N/A";"Moto lourde";"31"
"67 170 048";"A";"2023";"Métropole";"MRE1306A5839";"VT";"20"
"67 170 049";"A";"2023";"Métropole";"M10VWGVPR81S456";"VT";"5"
"67 170 050";"A";"2023";"Métropole";"MRE5222AY775";"VT";"15"
"67 170 050";"B";"2023";"Métropole";"N/A";"VT";"N/A"
"67 170 051";"Z";"2023";"Métropole";"N/A";"VT";"N/A"
"67 170 052";"A";"2023";"Métropole";"M10VWGVP003E679";"VT";"12"
"67 170 053";"A";"2023";"Métropole";"M10RENVPA536539";"VT";"3"
"67 170 054";"A";"2023";"Métropole";"M10PGTVP0448882";"VT";"7"
"67 170 054";"B";"2023";"Métropole";"N/A";"VT";"19"
"67 170 055";"A";"2023";"Métropole";"M10PGTVP1760268";"VT";"1"
"67 170 055";"B";"2023";"Métropole";"M10SKDVP023X707";"VT";"3"
"67 170 056";"A";"2023";"Métropole";"L3EAE2ML0001158";"Moto légère";"1"
"67 170 057";"A";"2023";"Métropole";"MPE1002BN571";"VT";"22"
"67 170 058";"A";"2023";"Métropole";"M10PGTVP0484292";"VT";"6"
"67 170 059";"A";"2023";"Métropole";"MRE5516AF877";"VT";"17"
"67 170 059";"B";"2023";"Métropole";"MFT5322JL267";"VT";"15"
"67 170 060";"A";"2023";"Métropole";"L3EAPRML000X578";"Moto légère";"1"
"67 170 060";"B";"2023";"Métropole";"MAU49H1VS912";"VT";"15"
"67 170 061";"A";"2023";"Métropole";"N/A";"VT";"20"
"67 170 061";"B";"2023";"Métropole";"M10RENVP603R735";"VT";"4"
"67 170 062";"A";"2023";"Métropole";"MPE5312TC305";"VT";"16"
"67 170 062";"B";"2023";"Métropole";"N/A";"VT";"12"
"67 170 063";"A";"2023";"Métropole";"MPE3101K1393";"VT";"23"
"67 170 064";"A";"2023";"Métropole";"MRE5016SB747";"VT";"18"
"67 170 064";"B";"2023";"Métropole";"N/A";"VT";"6"
